file_name,transcription,p_scores
030680056.WAV,HH AW W UH D IH T B IY DH EH N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030680072.WAV,AA F T AH DH AE T Y UW M EY G OW,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6
030680075.WAV,IH T W AH Z AA F T AH B R EH K F AH S T,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030680090.WAV,DH EH R IH Z S OW M AH CH IH N AH N EY M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.0 2.0 2.0 1.8
030680092.WAV,IH T W AH Z T UW B Y UW T IH F L,2.0 2.0 2.0 2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030680097.WAV,SH IY T ER N D IH T OW V ER,2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.6 2.0
030680105.WAV,N OW T IY TH W ER DH EH R,2.0 2.0 2.0 1.2 1.0 2.0 2.0 2.0 2.0 2.0
030680114.WAV,SH IY L AY K T W EY K IH NG AH N HH IH M,2.0 2.0 2.0 1.8 2.0 1.8 2.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030680119.WAV,DH EY M EY K M IY S OW HH AE P IY,2.0 1.8 2.0 1.4 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
030680140.WAV,AY N OW IH T AO L,2.0 2.0 2.0 2.0 2.0 2.0 1.6
030680162.WAV,G EH T AH N W IH DH Y UH AH B R EH K F AH S T,2.0 2.0 2.0 1.8 2.0 2.0 2.0 1.8 2.0 1.6 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030750012.WAV,T EH L M IY W IH L Y UW B IY HH IH AH L AH NG,2.0 1.4 1.0 2.0 1.8 2.0 2.0 1.4 2.0 1.8 2.0 1.8 2.0 0.8 0.8 2.0 2.0 1.8
030750030.WAV,B AH T W AH T AH M AY T UW D UH AH B AW T DH IH S,2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 1.8 2.0 1.6 2.0 2.0 1.8 2.0 2.0 2.0 2.0
030750034.WAV,IH T W AH Z IY Z IY W AH T HH IY HH AE D T UW D UH,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 1.8
030750042.WAV,F R AH M IH T SH IY L UH K T T UW,2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.8
030750057.WAV,W IY AA G OW IH NG DH EH R AA F T AH D IH N AH,2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0
030750058.WAV,N AW W AH T Y UW HH AE V D AH N,2.0 2.0 2.0 1.8 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.6 1.6
030750061.WAV,T EY K AA L UH K AE N D M IY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030750074.WAV,DH AH IY V N IH NG W AH Z F EY L IH NG,2.0 2.0 2.0 2.0 1.2 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0
030750076.WAV,B AH T D UH Y UW G EH T IH T S DH EH R,2.0 2.0 2.0 2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0
030750078.WAV,W EH L DH AH P L EY S L UH K S L AY K IH T,2.0 1.6 2.0 1.4 1.6 2.0 2.0 0.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0
030750088.WAV,W AH T D AH Z SH IY S EY,2.0 2.0 2.0 1.6 1.6 1.4 1.6 2.0 2.0 2.0
030750093.WAV,IH T W AH Z HH AH L AH D EY W IH DH HH ER,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0
030750098.WAV,AE N D DH EH N Y UW AA AO L S OW G UH D,2.0 2.0 1.8 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030750108.WAV,AE Z F AO L AH V IH NG HH ER,1.4 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0
030750119.WAV,HH UW DH EH N AO DH AE T,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0
030750128.WAV,W IY HH AE D AH W IY K AH V W EY T IH NG,2.0 2.0 2.0 2.0 2.0 1.6 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030750146.WAV,W IH L Y UW HH AE V S AH M T IY,2.0 1.4 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030750155.WAV,AY HH AE V D AH N S AH M TH IH NG,2.0 2.0 2.0 2.0 2.0 1.6 1.8 2.0 2.0 2.0 1.8 2.0 1.8
030750165.WAV,DH EH R W AH Z,2.0 1.8 1.8 2.0 1.8 1.8
030750170.WAV,DH EY W IH L B IY DH AH HH IH L,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.6 2.0 2.0 2.0
030830001.WAV,T EH L M IY W AH T Y UW W AA N T M IY T UW D UH,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 1.6 2.0 1.8
030830004.WAV,SH IY N OW Z AY W UH D,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0
030830013.WAV,AE N D P IY P L W ER B IH G IH N IH NG T UW S EY IH T S AH V Y UW,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.0 2.0 1.6 1.6 2.0 1.8 2.0 1.8
030830021.WAV,AE N D HH AW AA TH IH NG Z G OW IH NG AH N HH EH R N AW,2.0 2.0 2.0 2.0 1.8 2.0 1.4 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4
030830030.WAV,W IY N OW DH AE T W EH L,2.0 2.0 2.0 1.0 2.0 2.0 2.0 2.0 1.6 1.2
030830033.WAV,AY W AH N T S W ER K AE N D IH T S IH Z M AY R AY T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0
030830043.WAV,AY D UH N AH T N OW HH IH M,2.0 2.0 1.6 2.0 2.0 2.0 2.0 1.2 2.0 2.0 1.8
030830069.WAV,Y EH S AY N OW Y UW L AH V M IY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.8 2.0 1.8
030830074.WAV,HH AW HH AE P IY Y UW B OW TH L UH K,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
030830093.WAV,SH IY W ER D N AH T S EY W AH T,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.8 2.0 1.8 2.0
030830094.WAV,IH T M IY AO L B IY OW V ER,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030830102.WAV,SH IY W IH L N OW W AH T S AY W AA N T,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030830116.WAV,L EH T AH S G OW IH N T UW IH T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
030830118.WAV,DH EH N HH IY T ER N D B AE K AE N D L UH K T AE T HH ER,2.0 2.0 2.0 2.0 1.8 2.0 1.4 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0
030830124.WAV,IH N EH N IY K EY S HH IY IH Z SH AO T UW L AH V HH EH R B EH S T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 2.0 1.8 1.4 1.4 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030830129.WAV,W IH CH D UH Y UW K EH R T UW Y UW Z,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0
030830135.WAV,AE N D DH EH R W IY W ER,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2
030830147.WAV,W AH T W ER Y UW P EH R AH N T S,2.0 2.0 2.0 2.0 2.0 2.0 1.0 2.0 2.0 2.0 2.0 2.0 1.2 1.2
030830154.WAV,S T EY W IH DH M AY M AH DH ER,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030830169.WAV,HH IY W IH L HH EH L P Y UW,2.0 1.8 2.0 2.0 2.0 2.0 1.8 1.4 2.0 2.0 2.0
030880003.WAV,DH EH N L EH T IH T S T EY DH EH R,1.2 1.4 1.0 2.0 2.0 2.0 1.6 2.0 1.6 0.8 0.8 2.0 2.0 2.0
030880015.WAV,Y UW N OW W EH L DH AE T,2.0 1.8 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0
030880018.WAV,AY W IH L T AO K T UW DH AH W AO T ER,2.0 2.0 2.0 1.6 2.0 1.8 2.0 2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0
030880019.WAV,AY AH M G OW IH NG T UW T R AY,2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0
030880025.WAV,HH AW W UH D IH T B IY W IH DH HH IH M DH EH N,2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 1.8 2.0 2.0 1.4 2.0 2.0 2.0 2.0 2.0 2.0
030880041.WAV,DH IH S W AH Z DH AE T DH AH P UH AH B OY HH AE D W AA N T IH D T UW N OW,2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.2 1.2 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
030880049.WAV,DH IH S IH Z G EH T IH NG IH N T R AH S T IH NG,2.0 2.0 2.0 2.0 1.8 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
030880057.WAV,Y UW HH AE V D AH N W IH DH T R EY N Z,2.0 1.8 2.0 2.0 1.8 2.0 1.6 2.0 2.0 2.0 1.6 2.0 2.0 1.2 2.0 1.6
030880058.WAV,OW AY N OW HH AW T UW M EY K DH EH M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6
030880067.WAV,AO L AA G EH S DH AE T IH T IH Z D AH N,2.0 1.6 2.0 2.0 1.6 2.0 2.0 2.0 2.0 1.6 2.0 1.6 2.0 2.0 1.6 1.6
030880086.WAV,AY D UH N AH T N OW W EH R,2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.0 1.0
030880092.WAV,SH IY P UH T IH T B AE K,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030880096.WAV,IH T W AH Z AO L T UW W AH N D AH F L,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.8 1.6 2.0 2.0 2.0 2.0
030880099.WAV,N OW G EH T IH NG AW T AH V DH AE T,2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 1.8 1.8 2.0 1.6
030880105.WAV,S OW IH T W AH Z N AW,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
030880123.WAV,AY T ER N HH IH M S IY N IH T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030880131.WAV,HH AH L OW DH EH R W UH M AH N W UH M AH N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
030880146.WAV,AY OW N L IY G EH S T IH T,2.0 1.2 0.8 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0
030880172.WAV,D UH N AH T AY N OW Y UW,2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 1.8
030880173.WAV,DH IH S W AH N R AY T HH IH AH,2.0 2.0 2.0 2.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
032080019.WAV,AY S IY HH IH M DH EH R,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
032080038.WAV,D AH Z SH IY W AA N T T UW S IY M IY,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0
032080043.WAV,HH IH AH AY M EY D UH S AH M TH IH NG,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0
032080056.WAV,G EH T AH P AY S EY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
032080058.WAV,W EH L W EH R IH Z HH IY,2.0 1.6 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.8
032080071.WAV,AY HH AE V HH AE D N OW HH AH L AH D EY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
032080078.WAV,AE N D S OW DH EH R W AH T EH N AH V DH EH M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.6 1.8
032080079.WAV,IH T IH Z G UH D T UW B IY L AH V D AE N D T UW L AH V,2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8
032080083.WAV,B AH T DH IH S AY D IH AH W AH Z N AH T AH V T AH D EY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 1.6 1.8 2.0 2.0 2.0 2.0
032080088.WAV,OW DH IH S IH Z W AH N D ER F L,2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.6 2.0 2.0 2.0 2.0 2.0
032080092.WAV,DH EY W IH L S IY DH AE T Y UW AA R N AH T DH EH R,2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
032080093.WAV,W IY AA B OW TH T W EH L V Y IH AH R Z OW L D,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0
032080099.WAV,T R AY Y AO N Y UW SH UW Z,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6
032080103.WAV,B AH T IH T W AH Z T UW M AH CH,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0
032080110.WAV,D UH Y UW W AH N T T UW N OW M AY W IH SH,2.0 1.8 2.0 1.8 2.0 2.0 2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0
032080119.WAV,SH UH AH L IY DH AE T IH Z N AH T T UW L AO NG T UW W EY T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0
032080132.WAV,SH IY HH AE Z DH AE T F R AH M M IY,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
032080145.WAV,HH IY HH AE D T UW D R IH NG K AH N AO L F AO Z,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
032080150.WAV,M AY S IH S T ER W IH L M IH S Y UW,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
032080161.WAV,DH AE T AY K AE N G IH V HH IH M,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
032140001.WAV,L EH T M IY D UH AE Z AY W IH SH,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.8 2.0 2.0 1.2 2.0
032140007.WAV,W AH N D AH Z N AH T Y UW N OW AA F T AH AA T AY M,2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.6 2.0 2.0 2.0 1.6 1.6 2.0 2.0 1.8
032140013.WAV,L UH K AY T EH L Y UW,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
032140017.WAV,DH AE T W AH Z DH AH D AH G Y UW N OW,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 0.6
032140025.WAV,T EH L M IY HH AE Z Y AO F AA DH AH T ER N IH T AW T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
032140054.WAV,AY HH AE V AA R AY T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
032140060.WAV,AE N D DH EH N P L IY Z T UW T EH L M IY HH AW,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0
032140069.WAV,Y UW AA AH P T UW D EY T N AW,2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8
032140073.WAV,IH T W AH Z AO L DH EH R,2.0 2.0 2.0 2.0 1.8 1.8 2.0 2.0 1.8 1.8
032140078.WAV,DH IH S W AH Z N AH T F AO L AH NG,2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
032140082.WAV,DH EH N HH IY OW P AH N HH IH Z IH AH Z AE N D L UH K T AE T HH AH,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0 1.8 1.8 2.0 2.0 2.0
032140087.WAV,Y UW M EY G OW D AW N,2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.8 1.8
032140094.WAV,AE N D S OW DH EY W ER,2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
032140110.WAV,DH AH D AH G DH AH D AH G AH G EH N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
032140117.WAV,EH N IY W AH N K AE N T EH L Y UW,2.0 2.0 2.0 2.0 1.2 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
032140121.WAV,AY HH AE V N AH T D AH N DH AE T F AO M EH N IY AA L AH NG Y IH AH,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
032140135.WAV,P L IY Z G IH V HH AH M AY L AH V,2.0 2.0 2.0 1.8 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.6
032140150.WAV,Y UW G EH T IH T AW T,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0
032140164.WAV,Y UW R AY T T UW M IY,2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0
032140169.WAV,DH EY W AH AO L M EH R IY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
034120002.WAV,G OW T UW HH ER AY T EH L Y UW,2.0 2.0 2.0 1.8 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0
034120012.WAV,HH AW D UH W IY N OW,2.0 2.0 2.0 1.8 2.0 2.0 2.0 0.6
034120027.WAV,W AH Z DH EH R EH N IY P L EY S T UW P L EY,2.0 2.0 1.2 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
034120035.WAV,F AO AH S EH K AH N D W IY L UH K B L AE K,2.0 1.8 1.8 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.6 2.0 2.0
034120047.WAV,N OW W AH N N OW Z M IY,2.0 2.0 2.0 1.4 2.0 2.0 2.0 2.0 2.0 2.0
034120050.WAV,Y EH S AY L AH V D HH ER,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0
034120052.WAV,AY W EY T AE N D W EY T AE N D W EY T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
034120067.WAV,W UH D IH T N AH T B IY S W IY T,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0
034120077.WAV,AY L AH V Y UW IH N EH V R IY D R EH S,2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0 1.8 1.8 2.0 2.0
034120085.WAV,AE Z F AO M IY AY AH M W EY T IH NG,2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0
034120101.WAV,AY K AE N OW N L IY W AH CH,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0
034120111.WAV,HH AE D SH IY N OW M AH DH ER,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
034120125.WAV,AY W AH Z N AH T L IH S AH N IH NG,2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8
034120155.WAV,DH EY AA F AO T IY IH N IH T,2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0
034120161.WAV,DH AH Y IH AH W AH Z N AW OW V ER,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 0.0 2.0 2.0 2.0
034120162.WAV,IH T W AH Z AH S M AO L W AH N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 1.4 2.0
034120165.WAV,SH IY K EH R Z F AO N OW W AH N,2.0 1.8 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 1.8 2.0
034120170.WAV,IH N SH AO T IH T W AH Z HH IH Z D EY,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.6 2.0 2.0
034120173.WAV,AE N D T ER N AO L DH OW Z P IY P L AW T,2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
034120174.WAV,AY AH M T UW T EY K DH AH CH EH R,2.0 1.6 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
034230011.WAV,W AY HH AE D HH IY T ER N D,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 1.8
034230034.WAV,Y EH S DH AE T IH Z S AH M TH IH NG,2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
034230035.WAV,DH IH S IH Z DH AH F ER S T,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
034230043.WAV,Y UW K AE N P UH T B AY T R AY Z,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6
034230051.WAV,HH IY W AH Z HH AE P IY DH IH S M AO N IH NG L AY K AH B OY,2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
034230058.WAV,AY HH AE N D AH S EY W IH CH DH EH N,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2 2.0 2.0
034230063.WAV,AE N D DH EH R W AH TH R IY D EY Z L AY K DH IH S,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0
034230072.WAV,DH EY W ER L AY K Y IH AH Z,2.0 2.0 2.0 2.0 2.0 2.0 2.0 0.6 1.2 1.2 1.6
034230079.WAV,B AH T HH IY W AH Z G R EY T,2.0 2.0 2.0 2.0 1.8 2.0 2.0 1.8 2.0 1.2 2.0 2.0
034230081.WAV,AY G EH S IH Z Y UW HH AE V,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.6 1.6
034230083.WAV,DH EH R Y UW Z T UW B IY,2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.8 2.0 2.0
034230085.WAV,N OW W AH N L AH V M IY N AW,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
034230108.WAV,T UW G OW AH N W IH DH DH AH S AH R IY,2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 2.0
034230112.WAV,G IH V IH T HH IH AH AY T EH L Y UW,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.8
034230115.WAV,HH IY HH AE D HH IY AA M R AW N D HH ER,2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2
034230123.WAV,AE N D HH IH AH AH M AY W EY T T UW F ER,2.0 2.0 2.0 2.0 2.0 2.0 1.2 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
034230141.WAV,B AH T HH IY SH IY L UH K AH P AE N D IH Z N AH T AH F R EY D,2.0 2.0 2.0 2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.2 0.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
034230154.WAV,IH T W AH Z AH G R EY T D EY DH IH S,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
034230164.WAV,DH EH R W AH Z N OW P L EY F AO HH IH M N AW,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.6 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.6
034230168.WAV,B AH T G OW AH P AY W IH L,2.0 2.0 2.0 2.0 1.8 1.8 2.0 2.0 2.0 2.0 2.0
036310007.WAV,AY T ER N D DH AH CH AY L D R AW N D,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.4 2.0 2.0 2.0 2.0 2.0 2.0
036310021.WAV,Y UW D UH N AH T N OW M AY N,2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
036310035.WAV,B AH T DH AE T W IH L IH N K L AW D Z,2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0
036310036.WAV,SH IY W AH Z S OW L AY K Y UW CH AY L D,2.0 1.8 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 1.6 2.0 2.0
036310041.WAV,T R AY AE N D D UH G UH D W EH R Y UW AA,2.0 2.0 2.0 2.0 2.0 2.0 2.0 1.8 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0
